YCSB Client 0.1
Command line: -load -db com.yahoo.ycsb.db.MapKeeperClient -P workloads/workloada -p measurementtype=timeseries -p timeseries.granularity=2000 -s
 0 sec: 0 operations; 
 2700 sec: 9816338 operations; 3549.84 current ops/sec;  
 2710 sec: 9835969 operations; 1962.51 current ops/sec;  
 2720 sec: 9863664 operations; 2768.95 current ops/sec; [INSERT AverageLatency(ms)=41.5] 
 2730 sec: 9898952 operations; 3527.74 current ops/sec;  
 2740 sec: 9933206 operations; 3424.72 current ops/sec;  
 2750 sec: 9967585 operations; 3436.87 current ops/sec; [INSERT AverageLatency(ms)=20.75] 
 2760 sec: 10000000 operations; 3267.64 current ops/sec;  
[OVERALL], RunTime(ms), 2760769.0
[OVERALL], Throughput(ops/sec), 3622.179182684245
[INSERT], Operations, 10000000
[INSERT], AverageLatency(ms), 27.3987257
[INSERT], MinLatency(ms), 0
[INSERT], MaxLatency(ms), 17009
[INSERT], Return=0, 9999983
[INSERT], 0, 11.769071555292726
[INSERT], 2000, 11.073474815758852
[INSERT], 4000, 10.931092803753614
[INSERT], 6000, 10.666684454880196
[INSERT], 8000, 10.56962359906957
[INSERT], 10000, 10.697506207492173
[INSERT], 12000, 10.86929091399299
[INSERT], 14000, 10.591659610499576
[INSERT], 16000, 10.842505155758168
[INSERT], 18000, 11.029230090447827
[INSERT], 20000, 10.51768131286395
[INSERT], 22000, 11.032773386034256
[INSERT], 24000, 10.777849705993418
[INSERT], 26000, 10.92770025271948
[INSERT], 28000, 11.616495321704978
[INSERT], 30000, 10.836408030385241
[INSERT], 32000, 13.83373929988169
[INSERT], 34000, 16.706210456210457
[INSERT], 36000, 18.77786173026067
[INSERT], 38000, 17.91270224583434
[INSERT], 40000, 23.86993962189449
[INSERT], 42000, 19.629065229511244
[INSERT], 44000, 18.549240121580546
[INSERT], 46000, 18.02757929046007
[INSERT], 48000, 25.723114703775707
[INSERT], 50000, 20.37351833134246
[INSERT], 52000, 19.359609756097562
[INSERT], 54000, 18.47331851028349
[INSERT], 56000, 22.21782898726501
[INSERT], 58000, 31.484096548612676
[INSERT], 60000, 20.826776519052522
[INSERT], 62000, 21.411826378695743
[INSERT], 64000, 17.45975199663724
[INSERT], 66000, 17.683300844704352
[INSERT], 68000, 25.582920642589684
[INSERT], 70000, 33.59544573643411
[INSERT], 72000, 21.469698561075518
[INSERT], 74000, 20.907225044055146
[INSERT], 76000, 21.32028725314183
[INSERT], 78000, 18.992501595405233
[INSERT], 80000, 29.396825396825395
[INSERT], 82000, 32.99347307644032
[INSERT], 84000, 27.051889048302247
[INSERT], 86000, 24.13468992248062
[INSERT], 88000, 22.06398678414097
[INSERT], 90000, 23.59562969924812
[INSERT], 92000, 17.40495422724825
[INSERT], 94000, 27.244103976588054
[INSERT], 96000, 33.35480288728484
[INSERT], 98000, 38.45698534745394
[INSERT], 100000, 27.20634012359808
[INSERT], 102000, 24.607777777777777
[INSERT], 104000, 25.419281663516067
[INSERT], 106000, 26.252316653428647
[INSERT], 108000, 19.00624763347217
[INSERT], 110000, 24.40382387022016
[INSERT], 112000, 32.66632277081798
[INSERT], 114000, 37.71981091534164
